epoch_time,open,high,low,close,volume,date
1721015100,24587.6,24598.0,24536.15,24567.9,0,2024-07-15 09:15:00+05:30
1721016000,24567.6,24571.5,24522.75,24542.35,0,2024-07-15 09:30:00+05:30
1721016900,24542.55,24567.1,24535.65,24535.65,0,2024-07-15 09:45:00+05:30
1721017800,24535.2,24572.6,24527.9,24562.0,0,2024-07-15 10:00:00+05:30
1721018700,24562.15,24578.2,24545.7,24550.15,0,2024-07-15 10:15:00+05:30
1721019600,24550.35,24603.4,24549.3,24585.05,0,2024-07-15 10:30:00+05:30
1721020500,24584.5,24595.0,24573.15,24579.0,0,2024-07-15 10:45:00+05:30
1721021400,24578.75,24590.55,24574.4,24581.0,0,2024-07-15 11:00:00+05:30
1721022300,24581.75,24586.75,24573.7,24580.9,0,2024-07-15 11:15:00+05:30
1721023200,24580.75,24598.8,24574.5,24597.5,0,2024-07-15 11:30:00+05:30
1721024100,24596.3,24611.85,24547.55,24591.6,0,2024-07-15 11:45:00+05:30
1721025000,24591.75,24601.7,24577.7,24598.9,0,2024-07-15 12:00:00+05:30
1721025900,24599.2,24602.25,24576.45,24576.9,0,2024-07-15 12:15:00+05:30
1721026800,24577.35,24594.4,24576.1,24588.15,0,2024-07-15 12:30:00+05:30
1721027700,24587.8,24600.4,24584.0,24588.4,0,2024-07-15 12:45:00+05:30
1721028600,24588.05,24619.6,24585.55,24614.8,0,2024-07-15 13:00:00+05:30
1721029500,24615.7,24635.05,24613.85,24626.75,0,2024-07-15 13:15:00+05:30
1721030400,24626.95,24631.55,24611.8,24612.1,0,2024-07-15 13:30:00+05:30
1721031300,24612.4,24629.05,24609.2,24612.9,0,2024-07-15 13:45:00+05:30
1721032200,24612.8,24618.55,24589.8,24594.45,0,2024-07-15 14:00:00+05:30
1721033100,24594.35,24618.85,24589.05,24614.4,0,2024-07-15 14:15:00+05:30
1721034000,24613.75,24619.15,24591.2,24593.05,0,2024-07-15 14:30:00+05:30
1721034900,24592.5,24602.2,24579.5,24588.6,0,2024-07-15 14:45:00+05:30
1721035800,24587.75,24601.7,24577.7,24584.5,0,2024-07-15 15:00:00+05:30
1721036700,24583.4,24588.6,24577.95,24588.35,0,2024-07-15 15:15:00+05:30
1721101500,24615.9,24650.05,24599.75,24622.5,0,2024-07-16 09:15:00+05:30
1721102400,24623.2,24643.15,24615.3,24633.75,0,2024-07-16 09:30:00+05:30
1721103300,24634.55,24643.75,24613.85,24631.8,0,2024-07-16 09:45:00+05:30
1721104200,24630.25,24648.9,24620.0,24634.4,0,2024-07-16 10:00:00+05:30
1721105100,24635.35,24643.9,24634.3,24642.1,0,2024-07-16 10:15:00+05:30
1721106000,24640.05,24661.25,24628.75,24657.2,0,2024-07-16 10:30:00+05:30
1721106900,24656.55,24659.1,24646.1,24656.0,0,2024-07-16 10:45:00+05:30
1721107800,24655.45,24657.6,24642.8,24654.05,0,2024-07-16 11:00:00+05:30
1721108700,24654.4,24658.5,24640.1,24656.45,0,2024-07-16 11:15:00+05:30
